string_id,STR_PLUS,STR_MINUS
TX2-INV8-STR1,63.03,93.14
TX2-INV8-STR2,65.33,95.44
TX2-INV8-STR3,31.4,61.5
TX2-INV8-STR4,33.68,63.79
TX2-INV8-STR5,53.18,119.27
TX2-INV8-STR6,55.32,85.42
TX2-INV8-STR7,57.61,87.72
TX2-INV8-STR8,23.68,53.79
TX2-INV8-STR9,25.97,56.07
TX2-INV8-STR10,62.12,92.22
TX2-INV8-STR11,64.42,94.52
TX2-INV8-STR12,30.47,60.58
TX2-INV8-STR13,32.76,62.86
TX2-INV8-STR14,19.55,28.95
TX2-INV8-STR15,21.83,31.22
TX2-INV8-STR16,122.18,154.49
TX2-INV8-STR17,64.94,120.64
TX2-INV8-STR18,69.84,122.95
TX2-INV8-STR19,58.89,89
TX2-INV8-STR20,61.18,91.29
TX2-INV8-STR21,27.26,57.37
TX2-INV8-STR22,29.54,59.65
TX2-INV8-STR23,129.85,159.96
TX2-INV8-STR24,94.85,128.31
TX2-INV8-STR25,97.39,130.62
TX2-INV8-STR26,66.56,96.67
TX2-INV8-STR27,68.85,98.96
TX2-INV8-STR28,34.93,65.04
TX2-INV8-STR29,37.21,67.32
